trans_id,users_id,checkout_date,expected_return_date,actual_return_date,comments,equipment_items
1,jsmith6,2023-01-05,2023-01-12,2023-01-11,Research project VR equipment checkout,"{13,14}"
2,ejohns1,2023-02-10,2023-02-17,2023-02-16,Camera equipment for photography,"{6,7,8}"
3,crodrig9,2023-03-15,2023-03-22,2023-03-21,Mobile device testing,"{1,2,3,4}"
4,ppatel21,2023-04-20,2023-04-27,2023-04-26,Computer lab workstation,"{9,10,21}"
5,mali32,2023-05-25,2023-06-01,2023-05-31,FPGA board for research,"{11,12}"
6,onguye19,2023-06-30,2023-07-07,2023-07-06,VR development equipment,"{15,23,29}"
7,mgarci5,2023-07-05,2023-07-12,2023-07-11,Miscellaneous devices,"{16,17,18}"
8,ekim23,2023-08-10,2023-08-17,2023-08-16,Mobile device testing,"{5,19,25}"
9,akhan21,2023-09-15,2023-09-22,2023-09-21,Camera equipment for research,"{20,26,32}"
10,dmarti3,2023-10-20,2023-10-27,2023-10-26,Computer lab workstation,"{27,33,39}"
11,iwong12,2023-11-25,2023-12-02,,Awaiting return,"{31,37,43}"
12,aahme4,2023-12-30,2024-01-06,,Awaiting return,"{38,44,50}"
13,schen32,2024-01-05,2024-01-12,,Awaiting return,"{51,33}"
14,akhan12,2024-02-10,2024-02-17,,Awaiting return,"{12,20,7}"
15,msilva9,2024-03-15,2024-03-22,,Awaiting return,"{2,3,5}"
16,athoma4,2024-04-20,2024-04-27,,Awaiting return,"{1,8,13}"
17,ewilso,2024-05-25,2024-06-01,,Awaiting return,"{42,6,40,30}"
18,lrahma6,2024-06-30,2024-07-07,,Awaiting return,{11}
19,dlopez22,2024-07-05,2024-07-12,,Awaiting return,{9}
20,mherna10,2024-08-10,2024-08-17,,Awaiting return,{14}
21,lkim17,2024-09-15,2024-09-22,,Awaiting return,{49}
22,apatel1,2024-10-20,2024-10-27,,Awaiting return,"{10,31}"
23,lnguye5,2024-11-25,2024-12-02,,Awaiting return,"{19,4}"
24,agonzal4,2024-12-30,2025-01-06,,Awaiting return,"{21,45}"
25,zsingh1,2025-01-05,2025-01-12,,Awaiting return,{47}
26,lwilli3,2025-02-10,2025-02-17,,Awaiting return,48
27,fali28,2025-03-15,2025-03-22,,Awaiting return,52
28,nbrown8,2025-04-20,2025-04-27,,Awaiting return,53
29,adavis3,2025-05-25,2025-06-01,,Awaiting return,54
30,olee6,2025-06-30,2025-07-07,,Awaiting return,55
