equip_id,serial_number,product_name,manufacturer,label,category,purchase_date,comments,status,condition
1,MD001,iPhone 12,Apple,MD01,Mobile Devices,2021-05-15,Used as a test device,Unavailable,Good
2,MD002,Samsung Galaxy S21,Samsung,MD02,Mobile Devices,2021-06-10,Minor screen scratches,Unavailable,Good
3,MD003,Google Pixel 5,Google,MD03,Mobile Devices,2021-03-20,"Frequent use, still in good condition",Unavailable,Good
4,MD004,OnePlus 9 Pro,OnePlus,MD04,Mobile Devices,2021-07-05,"Excellent performance, well-maintained",Unavailable,Good
5,MD005,Xiaomi Mi 11,Xiaomi,MD05,Mobile Devices,2020-12-12,"Rarely used, like new",Unavailable,Good
6,CAM001,Canon EOS 5D Mark IV,Canon,CAM01,Camera,2021-04-28,High-quality DSLR for photography projects,Unavailable,Broken
7,CAM002,Sony Alpha A7 III,Sony,CAM02,Camera,2020-11-03,Includes multiple lenses,Unavailable,Good
8,CAM003,Nikon D850,Nikon,CAM03,Camera,2019-09-22,"Professional-grade DSLR, rarely used",Unavailable,Issues
9,COM001,Dell XPS 15,Dell,COM01,Computer,2019-12-30,Used for software development,Unavailable,Good
10,COM002,MacBook Pro 13-inch,Apple,COM02,Computer,2021-08-17,"Upgraded RAM, excellent for research",Unavailable,Good
11,FPGA001,Xilinx Artix-7,Xilinx,FPGA01,FPGA Board,2021-07-20,FPGA development board,Unavailable,Good
12,FPGA002,Altera Cyclone IV,Intel (Altera),FPGA02,FPGA Board,2021-09-05,Custom FPGA configurations,Unavailable,Issues
13,VR001,Oculus Rift S,Oculus,VR01,VR/AR Device,2021-10-25,Used for virtual reality experiments,Unavailable,Good
14,VR002,HTC Vive Pro,HTC,VR02,VR/AR Device,2021-06-28,High-quality VR headset,Unavailable,Good
15,VR003,Valve Index,Valve,VR03,VR/AR Device,2021-11-30,Includes finger-tracking controllers,Available,Good
16,MIS001,Raspberry Pi 4,Raspberry Pi,MIS01,Miscellaneous,2021-03-10,Used for various DIY projects,Available,Good
17,MIS002,3D Printer,Prusa Research,MIS02,Miscellaneous,2019-10-08,Prototyping and rapid fabrication,Available,Good
18,MIS003,Raspberry Pi Zero W,Raspberry Pi,MIS03,Miscellaneous,2020-02-20,Compact board for IoT experiments,Available,Good
19,MD006,OnePlus Nord N200,OnePlus,MD06,Mobile Devices,2021-06-03,Spare test device,Unavailable,Issues
20,CAM004,Fujifilm X-T4,Fujifilm,CAM04,Camera,2021-09-14,Mirrorless camera for photography,Unavailable,Good
21,COM003,Lenovo ThinkPad X1 Carbon,Lenovo,COM03,Computer,2020-09-14,Lightweight laptop for research,Unavailable,Good
22,FPGA003,Intel Stratix 10 GX,Intel,FPGA03,FPGA Board,2021-11-22,High-performance FPGA board,Available,Good
23,VR004,Oculus Quest 2,Oculus,VR04,VR/AR Device,2021-04-15,Ideal for wireless VR experiences,Available,Good
24,MIS004,Arduino Uno,Arduino,MIS04,Miscellaneous,2020-06-01,Used for various electronic projects,Available,Issues
25,MD007,iPhone SE (2nd Gen),Apple,MD07,Mobile Devices,2021-02-10,Compact test device,Available,Good
